number,address,lat,lon,mon,tue,wed,thu,fri,sat,sun
141,"CHISINAU, STR. VASILE LUPI, 89",47.02167499999999,28.8010096,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
142,"BALTI, STR. CHISINAU, 1A",47.74081779999999,27.8761774,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
143,"CHISINAU, STR. ALBA IULIA, 194/3",47.03925419999999,28.7685656,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
144,"COMRAT, STR. FEDICO, 39",46.30087020000001,28.6521882,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
145,"CHISINAU, STR. CEUCARI, 9",47.0613025,28.8465511,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
146,"CHISINAU, STR. BUREBISTA, 66/C",46.99052229999999,28.8834733,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
147,"CHISINAU, BD. MIRCEA CEL BATRIN, 48",47.0467717,28.8896134,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
148,"CHISINAU, BD. CAZA VODA, 1/4",46.9768384,28.8694631,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
149,"BUDESTI, STR. CHISINAU, 113",47.0637456,28.9723112,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
150,"BALTI, STR. PETRU ZADNIPRU, 2/4",47.7708263,27.930637,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
